S.No.,User_query,Bot_reply,Relevant
0,abd villiers aur virat kohli me kaun best hai?,I cannot interpret that.Please ask me anything about real estate.,No
1,I want a place to live in Gurgaon.,"Sure, do you have a particular area in mind?",Yes
2,Show me the weather in Gurgaon.,We don't have that facility right now.,No
3,Can you show me a place where I can play tennis?,"Yeah,sure.",Yes
4,Hello there.How can you help me?,Hi ! I can help you find places to rent or purchase in Gurgaon.,Yes
5,abds eijf  oeljd,"Sorry,I cannot interpret that.Please ask me about real estate projects.",No
6,I am looking for a 2BHK apartment ,"Great, are you looking to rent or buy the apartment?",Yes
7,I want to rent ,Do you have a locality or project in mind?,Yes
8,Want to buy a 4BHK on Sohna Road,"Great, do you have a budget in mind?",Yes
9,Do you have properties on Golf Course Road?,"Yes, we have a number of properties at your location of choice. Are you looking to buy or rent?",Yes
10,What areas do you have in Gurgaon?,"We have six localities you can chose from: Sohna Road, Golf Course Road, Golf Course Extension Road, Dwarka Expressway, New Gurgaon and M.G Road. Which locality are you interested in?",Yes
11,Do you have properties to rent or buy?,We have properties to rent and buy. What are you looking for?,Yes
12,"I want a penthouse, what is the price?","The price will depend on the locality and project, do you have this is mind?",Yes
13,I need a PG place on Golf Course Extension,"I am sorry, we are not currently able to provide this information. ",Yes
14,"Can I rent a 2BHK for 30,000?",We have a number of 2BHK apartments within this budget. Which locality are you looking for?,Yes
15,What is the weather like in Gurgaon?,"I am sorry, we are not currently able to provide this information. Please ask me about real estate projects. ",No
16,Do you only have properties in Gurgaon?,"Yes, at the moment. However, we are working on expanding this. Watch this space!",Yes
17,I want an apartment in Shispal Vihar.,"Great, do you have a budget in mind?",Yes
18,I want to see apartments available by DLF.,"Sure, we have a number of apartments. Do you have a locality in mind?",Yes
19,I need a Vipul Group apartment on Golf Course Road ,"Great, we have information on apartments that match your choice. Do you have a budget in mind?",Yes
20,I want an apartment near Heritage School.,There are property options availabe that suit your requirement. Do you have a budget or project in mind?,Yes
21,"I want an apartment with a swimming pool, budget of 50,000","Great, do you have a locality or project in mind?",Yes
22,I want an apartment with a clubhouse which has a gym on M.G. Road,"Okay, there are property options available that meet your needs. Do you have a budget in mind?",Yes
23,How many projects are there in Gurgaon?,We currently have multiple projects in Gurgaon. Can we help you find a place?,Yes
24,How many under construction projects have DLF got?,There are multiple under construction projects available under your preffered developer. Are you looking for a place to buy?,Yes
25,I want an apartment. Can you show me ones on M.G Road?,"Yes, we have multiple property options to choose from. Are you looking to buy or rent?",Yes
26,I need help. Can you help me?,"Yes, of course. Are you looking to buy or rent a property?",Yes
27,I want to buy. Can you also show me places in New Gurgaon?,"Yes, of course. We have multiple property options to choose from. Do you have a budget in mind?",Yes
28,I want a place in Pune. Can you show me these?,"Unfortunately, we do not have information for Pune at this stage. Can I help you with anything in Gurgaon?",No
29,"I want a place to buy. How many places do you have above 70,000?",We have multiple property options to choose from in Gurgaon. Do you have a locality or project in mind?,Yes
30,I am tired ,I am sorry I am not able to interpret that. Please ask me something else.,No
31,Can someone from your team call me?,"I am sorry we do not offer that facility. However, please view our contact us page to get in touch with us.",No
32,Do you have any jobs?,"I am unable to answer that question, please contact us to speak to someone in the team. ",No
33,Is Emaar a good developer?,"We provide an efficient review and rating system, you can view this for all your preferred projects in Gurgaon.",No
34,I am hot ,I am sorry I am not able to interpret that. Please ask me something else.,No
35,Do most projects have worker clearance? ,We have multiple projects in Gurgaon that offer this facility. Do you have a locality in mind?,Yes
36,I want an apartment in GGN,Do you have any area in your mind?,Yes
37,I want a flat in gurugram,"Yeah, sure. Any particular area?",Yes
38,Spacious apartment in GGN,Okay. Do you have a budget in mind?,Yes
39,I want an apartment in ggn with a great golf course.,Sure. Do you have any particular area in mind?,Yes
40,I want an apartment near Sohna Road,"Yes, Do you have any preferred developer?",Yes
41,I want to buy an apartment which is under construction.,Do you have any area in your mind?,Yes
42,"Hey, can you help me out?","Hey,what are you looking for?",Yes
43,I want an office space on Sohna road.,"I am sorry, we currently cover only residential spaces.",Yes
44,Can you suggest some good brokers to find a flat on M.G.Rad?,I am sorry. We don’t deal with brokers.,Yes
45,Do you deliver food too?,"Sorry,I cannot interpret that.Please ask me about real estate projects.",No
46,I want a place to stay in Delhi,I am sorry. We currently cover only Gurgaon. Can I help you with anything in Gurgaon?,Yes
47,Can you suggest a society with good sports facilities?,"Yes, sure. Do you have any area in mind?",Yes
48,I want an aparmtent in Delhi NCR.,We currently cover only Gurgaon under NCR.,Yes
49,Who are the top developers in Gurgaon?,We provide an efficient rating and review system for all developers in Gurgaon.,Yes
50,I want an apartment in Vipul Greens,Great. What property type are you looking for?,Yes
51,I am hungry,"I am sorry, I am not able to interpret that. Please ask me something else.",No
52,abcd efgh ijkl mnop,"Sorry, I cannot interpret that.Please ask me about real estate projects.",No
53,"Does ABW La Lagune
 provide Power Backup?",Let me check that for you.,Yes
54,Show me user reviews for Adani aangan.,Your choice of property has the following user reviews for you to see.,Yes
55,"Show me fully furnished, ready to move in apartments in GGN",Okay. Do you have an area in mind?,Yes
56,I have 3 dogs. Show me societies that are pet friendly.,Okay. What areas in Gurgaon would be of your preferance?,Yes
57,What are the best schools available near Adani oyster grande?,These schools are available near your chosen society. ,Yes
58,"What are the best hospitals available near Gurgaon one
?",These hospitals are available near your chosen society. ,Yes
59,What are the markets available near Antriksh zeal?,These markets are available near your chosen society. ,Yes
60,What are the best gyms available near Ansal housing Highland park?,These gyms are available near your chosen society. ,Yes
61,How far is Ansal API estella from the nearest Metro Station?,Calculating distance from your choice of location to the nearest metro station...,Yes
62,How far is Ansals amantre from the nearest Railway Station?,Calculating distance from your choice of location to the nearest railway station...,Yes
63,How far is Antriksh Heights from the Domestic Airport?,Calculating distance from your choice of location to the nearest domestic airport...,Yes
64,What is the nearest bus-stand from Aashiana The center court?,Let me look for the nearest bus-stand from your loction of choice.,Yes
65,What are the nearest Malls around Assotech Breeze?,Let me find the best malls avilable near your chosen society.,Yes
66,How far is the nearest petrol station from Assotech Blith?,Calculating distance from your choice of location to the nearest petrol station...,Yes
67,How far is ATS Kocoon from the Expressway?,Calculating distance from your choice of location to the Expressway...,Yes
68,I want a 3BHK Gurgaon which is Vastu Compliant,Great choice! What area or locality do you have in mind?,Yes
69,How many ATMs are available inside ATS Tourmaline?,Let me find that out for you.,Yes
70,Looking for a Society in GGN which provides Day Care Services,There are multiple societies which cater to this requirement. What area do you have in mind?,Yes
71,Does ATS triumph provide Laundry Services?,Let me find out whether your chosen society provides the required service.,Yes
