S.No.,User_query,Bot_reply,Relevant
1,abd villiers aur virat kohli me kaun best hai,"Sorry,I can't interpret that.Please ask me anything related to real estate.",No
2,I want a place to live in Gurgaon.,"Sure, do you have a particular area in mind?",Yes
3,Show me the weather in Gurgaon.,We don't have that facility right now.,No
4,Can you show me a place where I can play tennis?,"Yeah,sure.",Yes
5,Hello there.How can you help me?,Hi ! I can help you find places to rent or purchase in Gurgaon.,Yes
6,abds eijf oeljd,"Sorry,I cannot interpret that.Please ask me about real estate projects.",No
7,I am looking for a 2BHK apartment ,"Great, are you looking to rent or buy the apartment?",Yes
8,I want to rent ,Do you have a locality or project in mind?,Yes
9,Want to buy a 4BHK on Sohna Road,"Great, do you have a budget in mind?",Yes 
10,Do you have properties on Golf Course Road?,"Yes, we have a number of properties at your location of choice. Are you looking to buy or rent?",Yes
11,What areas do you have in Gurgaon?,"We have six localities you can chose from: Sohna Road, Golf Course Road, Golf Course Extension Road, Dwarka Expressway, New Gurgaon and M.G Road. Which locality are you interested in?",Yes 
12,Do you have properties to rent or buy?,We have properties to rent and buy. What are you looking for?,Yes
13,"I want a penthouse, what is the price?","The price will depend on the locality and project, do you have this is mind?",Yes
14,I need a PG place on Golf Course Extension,"I am sorry, we are not currently able to provide this information. ",Yes
15,"Can I rent a 2BHK for 30,000?",We have a number of 2BHK apartments within this budget. Which locality are you looking for?,Yes 
16,What is the weather like in Gurgaon?,"I am sorry, we are not currently able to provide this information. Please ask me about real estate projects. ",No 
17,Do you only have properties in Gurgaon?,"Yes, at the moment. However, we are working on expanding this. Watch this space!",Yes
18,I want an apartment in Shispal Vihar.,"Great, do you have a budget in mind?",Yes 
19,I want to see apartments available by DLF.,"Sure, we have a number of apartments. Do you have a locality in mind?",Yes
20,I need a Vipul Group apartment on Golf Course Road ,"Great, we have information on apartments that match your choice. Do you have a budget in mind?",Yes 
21,I want an apartment near Heritage School.,There are property options availabe that suit your requirement. Do you have a budget or project in mind?,Yes 
22,"I want an apartment with a swimming pool, budget of 50,000","Great, do you have a locality or project in mind?",Yes 
23,I want an apartment with a clubhouse which has a gym on M.G. Road,"Okay, there are property options available that meet your needs. Do you have a budget in mind?",Yes
24,How many projects are there in Gurgaon?,We currently have multiple projects in Gurgaon. Can we help you find a place?,Yes 
25,How many under construction projects have DLF got?,There are multiple under construction projects available under your preffered developer. Are you looking for a place to buy?,Yes
26,I want an apartment. Can you show me ones on M.G Road?,"Yes, we have multiple property options to choose from. Are you looking to buy or rent?",Yes 
27,I need help. Can you help me?,"Yes, of course. Are you looking to buy or rent a property?",Yes 
28,I want to buy. Can you also show me places in New Gurgaon?,"Yes, of course. We have multiple property options to choose from. Do you have a budget in mind?",Yes 
29,I want a place in Pune. Can you show me these?,"Unfortunately, we do not have information for Pune at this stage. Can I help you with anything in Gurgaon?",No
30,"I want a place to buy. How many places do you have above 70,000?",We have multiple property options to choose from in Gurgaon. Do you have a locality or project in mind?,Yes 
31,I am tired ,I am sorry I am not able to interpret that. Please ask me something else.,No 
32,Can someone from your team call me?,"I am sorry we do not offer that facility. However, please view our contact us page to get in touch with us.",No
33,Do you have any jobs?,"I am unable to answer that question, please contact us to speak to someone in the team. ",No 
34,Is Emaar a good developer?,"We provide an efficient review and rating system, you can view this for all your preferred projects in Gurgaon.",No
35,I am hot ,I am sorry I am not able to interpret that. Please ask me something else.,No 
36,Do most projects have worker clearance? ,We have multiple projects in Gurgaon that offer this facility. Do you have a locality in mind?,Yes 
37,I want an apartment in GGN,Do you have any area in your mind?,Yes
38,I want a flat in gurugram,"Yeah, sure. Any particular area?",Yes
39,Spacious apartment in GGN,Okay. Do you have a budget in mind?,Yes
40,I want an apartment in ggn with a great golf course.,Sure. Do you have any particular area in mind?,Yes
41,I want an apartment near Sohna Road,"Yes, Do you have any preferred developer?",Yes
42,I want to buy an apartment which is under construction.,Do you have any area in your mind?,Yes
43,"Hey, can you help me out?",Absolutely. What are you looking for?,Yes
44,I want an office space on Sohna road.,"I am sorry, we currently cover only residential spaces.",Yes
45,Can you suggest some good brokers to find a flat on M.G.Rad?,I am sorry. We don’t deal with brokers.,Yes
46,Do you deliver food too?,"Sorry,I cannot interpret that.Please ask me about real estate projects.",No
47,I want a place to stay in Delhi,I am sorry. We currently cover only Gurgaon. Can I help you with anything in Gurgaon?,Yes
48,Can you suggest a society with good sports facilities?,"Yes, sure. Do you have any area in mind?",Yes
49,I want an aparmtent in Delhi NCR.,We currently cover only Gurgaon under NCR.,Yes
50,Who are the top developers in Gurgaon?,We provide an efficient rating and review system for all developers in Gurgaon.,Yes
51,I want an apartment in Vipul Greens,Great. What property type are you looking for?,Yes
52,I am hungry,"I am sorry, I am not able to interpret that. Please ask me something else.",No
53,abcd efgh ijkl mnop,"Sorry, I cannot interpret that.Please ask me about real estate projects.",No
54,Does ABW La Lagune provide Power Backup?,Let me check that for you.,Yes
55,Show me user reviews for Adani aangan.,Your choice of property has the following user reviews for you to see.,Yes
56,"Show me fully furnished, ready to move in apartments in GGN",Okay. Do you have an area in mind?,Yes
57,I have 3 dogs. Show me societies that are pet friendly.,Okay. What areas in Gurgaon would be of your preferance?,Yes
58,What are the best schools available near Adani oyster grande?,These schools are available near your chosen society. ,Yes
59,What are the best hospitals available near Gurgaon one ?,These hospitals are available near your chosen society. ,Yes
60,What are the markets available near Antriksh zeal?,These markets are available near your chosen society. ,Yes
61,What are the best gyms available near Ansal housing Highland park?,These gyms are available near your chosen society. ,Yes
62,How far is Ansal API estella from the nearest Metro Station?,Calculating distance from your choice of location to the nearest metro station...,Yes
63,How far is Ansals amantre from the nearest Railway Station?,Calculating distance from your choice of location to the nearest railway station...,Yes
64,How far is Antriksh Heights from the Domestic Airport?,Calculating distance from your choice of location to the nearest domestic airport...,Yes
65,What is the nearest bus-stand from Aashiana The center court?,Let me look for the nearest bus-stand from your loction of choice.,Yes
66,What are the nearest Malls around Assotech Breeze?,Let me find the best malls avilable near your chosen society.,Yes
67,How far is the nearest petrol station from Assotech Blith?,Calculating distance from your choice of location to the nearest petrol station...,Yes
68,How far is ATS Kocoon from the Expressway?,Calculating distance from your choice of location to the Expressway...,Yes
69,I want a 3BHK Gurgaon which is Vastu Compliant,Great choice! What area or locality do you have in mind?,Yes
70,How many ATMs are available inside ATS Tourmaline?,Let me find that out for you.,Yes
71,Looking for a Society in GGN which provides Day Care Services,There are multiple societies which cater to this requirement. What area do you have in mind?,Yes
72,Does ATS triumph provide Laundry Services?,Let me find out whether your chosen society provides the required service.,Yes
73,What societies in GGN provide the best security?,We provide property listings aided by genuine user reviews and ratings. What area or locality do you have in mind?,Yes
74,Show me societies which provide multiple parking spaces per apartment.,Let me find out the societies that provide the required service. What area or locality do you have in mind?,Yes
75,Does ATS Tangerine have a Squash Court?,Let me check that for you.,Yes
76,I have a 2BHK in ATS Tangerine. I wish to put it on rent. Find me prospective buyers,"Sorry, we do not provide that facility. I can help you with renting or buying property. ",No
77,I want to sell my apartment which is in ATS Triumph. ,"Sorry, we do not provide that facilty. I can help you with renting or buying property.",No
78,Find apartment sharing options in GGN for bachelors ,"Sorry, we do not provide that facility. I can help you with renting or buying property.",No
79,I want an apartment near my office.,Sure. Are you looking to rent or buy an apartment?,Yes
80,Hi,"Hello there, how can I help you?",Yes
81,"Looking for an apartment to rent on M.G. Road within 40,000. ",Alright. What kind of an apartment are you looking for?,Yes
82,"A 3 bedroom house on M.G. Road within 40,000",Let me show you the societies which provide apartments suitable to you at your preferred location.,Yes
83,What are the best underconstruction projects in GGN to invest in?,Let me show you the top rated properties under construction to invest in. ,Yes
84,Restart,"Hello there, how can I help you?",Yes
85,Can you help me schedule a visit to AWHO Sispal Vihar?,"Sorry, we do not provide that facility. I can help you with renting or buying property.",No
86,How far is the nearest police station from Central Park I?,Let me find out the nearest police station from your choice of location.,Yes
87,What are the nearest banks around Bestech park View City 1?,Let me search for the required information,Yes
88,Give me the configuration of a 2BHK apartment in Bestech Park view ananda.,Looking for information on the selected property...,Yes
89,What are the best sports and recreational clubs around BTPL Beverly towers?,Let me look for the best options available near your choice of location.,Yes
90,How long will it take from BTPL Beverly towers to reach the nearest club?,Calculating the time taken to travel from your chosen location to the nearest club...,Yes
91,What are the best Cinemas around BPTP Park Prime?,Let me look for the best options available near your choice of location.,Yes
92,How far is PVR from BPTP Park Prime?,Please wait while I generate the required information.,Yes
93,Cinemas near BPTP Park Prime,Let me look for the best options available near your choice of location.,Yes
94,How long will it take from BPTP Park Prime to reach PVR Cinemas?,Let me calculate that for you,Yes
95,What are the nearest Cinemas around BPTP Park Prime?,Let me look for the best options available,Yes
96,Are there any good pre-schools available inside BPTP spacio?,"Yes, let me show you the best options available of your choice of service.",Yes
97,Pre-schools around BPTP spacio,Let me show you a listing of the best options available of your choice of service.,Yes
98,What are the nearest pre-schools around BPTP spacio?,Let me show you the best options available of your choice of service.,Yes
99,How far is BPTP spacio from the nearest Pre-School?,Calculating the distance from your choice of location to the nearest pre-school...,Yes
100,How long will it take from BPTP spacio to reach the nearest pre-School?,Let me calculate that for you,Yes
101,What are the most prominent pre-schools available near BPTP spacio?,Let me show you the best options available of your choice of service.,Yes
102,What are the nearest day-care centers around BPTP Park Serene?,Let me look up the best options available of your choice of service.,Yes
103,What are the most prominent day-care centers available near BPTP Park Serene?,Let me find out the best options available of your choice of service.,Yes
104,Are there any Day care centers available inside BPTP Park Serene?,Hold on as I enquire about your choice of service.,Yes
105,Day-care centers around BPTP Park Serene,Let me show you the best options available of your choice of service.,Yes
106,Show me user ratings for Day Care Centers inside BPTP Park Serene.,Roofpik provides an efficient system of user reviews and ratings for you to make the best decision. Here are the user reviews of your service of choice.,Yes
107,What are the nearest supermarkets available around BPTP Amstoria?,Let me show you the best options available of your choice of service.,Yes
108,Super markets around BPTP Amstoria,Let me show you the best options available near your choice of location.,Yes
109,How far is BPTP Amstoria from the nearest supermarket?,Calculating distance from your choice of location to the nearest super market...,Yes
110,What is the biggest supermarket near BPTP Amstoria?,Let me look that up for you,Yes
111,What are the nearest parlours available around BPTP Park Generations?,Showing you the best options available of your choice of service...,Yes
112,Are there any parlours available inside BPTP Park Generations?,Let me find that out for you,Yes
113,Show me user reviews for parlours available inside BPTP Park Generations.,Roofpik provides an efficient system of user reviews and ratings for you to make the best decision. Here are the user reviews of your service of choice.,Yes
114,Best parlours near BPTP Park Generations,Showing you the best options available of your choice of service.,Yes
115,What are the nearest pharmacies available around BPTP terra?,Let me look for the best options available of your choice of service.,Yes
116,Are there any pharmacies available inside BPTP terra?,Let me find out the information that you require.,Yes
117,Pharmacies around BPTP terra,Let me show you the best options available of your choice of service.,Yes
118,Most conveniently accessible pharmacies for BPTP terra residents.,The best options available of your choice of service are listed below.,Yes
119,What are the top rated restaurants around BPTP Chateue?,Let me show you the best options available of your choice of service.,Yes
120,How far is BPTP Chateue from Wendy’s?,Let me calculate the required distance for you.,Yes
121,Best diners around BPTP Chateue,Let me show you the best options available.,Yes
122,Are there any restaurants available inside BPTP Chateue?,Let me locate the services required by you.,Yes
123,How far is BPTP Park Prime Mansions from the fire station?,Calculating the distance from your choice of location to the nearest fire station.,Yes
124,Fire station near BPTP Park Prime Mansions,Looking for the required service near your location of choice.,Yes
125,Are there any fire stations near BPTP Park Prime Mansions?,Hold on as I look for the required service near your choice of location.,Yes
126,How long will it take from Brisk Lumbini Terrace Homes to reach the nearest Metro Station at peak-time?,Calculating the desired information...,Yes
127,How long will it take from Brisk Lumbini Terrace Homes to reach the nearest Metro Station off peak-time?,Hold on while I look for the required data,Yes
128,How long will it take from Brisk Lumbini Terrace Homes to reach the nearest Railway station at peak time?,Let me calculate that for you,Yes
129,How long will it take from Brisk Lumbini Terrace Homes to reach the nearest Railway station off peak time?,Please wait while I find out about the desired data,Yes
130,How long will it take from Brisk Lumbini Terrace Homes to reach Domestic Airport at peak time?,Let me find out the exact information for you,Yes
131,How long will it take from Brisk Lumbini Terrace Homes to reach Domestic Airport off peak time?,Hold on as I look up the required information,Yes
132,How long will it take from Brisk Lumbini Terrace Homes to reach the International Airport at peak time?,Watch the space below for the required information,Yes
133,How long will it take from Brisk Lumbini Terrace Homes to reach the International Airport off peak time?,Hold on as I look that up for you,Yes
134,How long will it take from Capital square to reach the nearest but stand?,Finding the best solution to your query...,Yes
135,What is the total land area covered by CHD Vann?,Hold on as I look for the required information,Yes
136,CHD Vann total area,Hold on as I look for the required information,Yes
137,How many towers does CHD tee9 have?,Give me a moment as I find that out for you,Yes
138,How many floors does each tower in CHD tee9 have?,Your choice of property furnishes the following information,Yes
139,How many lifts does each tower in CHD tee9 have?,Your choice of property furnishes the following data,Yes
140,Does CHD 106 Golf Avenue provide visitor car parking?,Let me look for information rearding the required service,Yes
141,How many car parkings does CHD 106 Golf Avenue provide?,Let me look for information rearding the required service,Yes
142,Does Chintels Serenity have a RWA?,Your society of choice provides the required service,Yes
143,Put me in touch with the RWA of Chintels Serenity,We do not provide that facility right now,No
